612513,695024,350815,490334,564423,449545,46804,2062,312433,786657,395375,473512,639795,532126,69251,2371,203023,385943,667751,294096,496213,715176,430430,18888,c
30303,63706,68912,36052,27163,30702,2232,514,24023,52517,77020,41473,28092,33879,2150,430,24308,53718,73320,41424,28878,32551,5053,332,c
643190,1850659,445630,200899,141821,117934,98009,373346,552994,1877098,494487,218287,158881,117985,89812,361944,502394,1809932,548361,256566,166864,122010,81760,383601,c
118788,48266,32268,29227,20596,5874,2187,7394,111720,50901,34725,32543,19426,5252,2403,7630,122229,44002,35318,28631,17123,6594,2782,7921,c
173714,202743,497685,502378,202595,125696,9979,410,164347,161466,490217,522188,176886,161780,37727,589,162462,146546,489832,574481,129369,119611,91874,1025,c
0,8873,24387,12099,4333,1514,893,1301,0,8869,23596,12146,4963,1600,999,1227,0,7008,21833,14517,5462,2185,1143,1252,c
86510,122730,119463,116848,118923,87279,54664,80015,92334,130950,112007,113540,127961,90194,57869,61577,74201,111059,115690,111714,126758,109037,67397,70576,c
2818,13943,30779,22126,6674,5190,1923,547,2985,8228,20140,28432,12858,5798,4310,1249,5681,9691,24409,28341,8348,5502,1573,455,c
33096,64172,26999,39824,44538,22628,13926,24817,25710,61611,24717,35255,46581,29425,16733,29968,2582,57827,37651,29808,37687,43701,21870,38874,c
55588,178454,195612,120459,65616,89245,70004,11454,51117,153521,195933,140603,80414,86455,74091,4298,51852,151899,182095,160176,82705,82352,71270,4083,c
181593,494096,678283,723177,1153038,984294,542781,281586,68874,245849,540373,956917,1135162,1157080,686997,247596,47729,214525,542368,859689,1328328,1173059,689688,183462,c
30515,69132,58842,65265,119200,101944,32956,2146,9761,77855,62981,65205,111000,103422,47277,2499,20029,70519,60858,52127,91265,107871,73606,3725,c
16979,83268,58096,20757,11225,10882,12620,12740,30297,79758,49598,19111,10617,10436,13394,13356,33073,66783,51667,22146,11028,10544,12137,19189,c
220934,133943,62000,28426,20718,8651,3606,1722,115955,172607,101598,44405,27964,11220,3955,2296,89711,171983,111660,52557,31689,13197,5814,3389,c
247024,104905,60704,34083,25971,24289,21579,35713,197417,140263,68897,42537,28532,23733,24427,28462,130960,149565,109081,55940,29636,24948,25770,28368,c
13530,17508,13582,9563,4836,1999,1133,549,5728,16322,16494,11260,7760,3204,1354,578,8179,14635,15747,9899,7522,4495,1540,683,c
13890,20227,15443,12317,5785,563,2388,11557,19253,17830,15720,12178,2395,245,1547,13002,14280,20366,17591,13703,1203,352,764,13911,c
20202,18133,10420,4870,4263,5050,2915,1647,18315,18436,10599,5076,3935,3996,4530,2613,18384,17989,10109,4728,4092,3507,3151,5540,c
1693042,743449,727401,451614,193629,56935,5417,1,1607591,769046,777834,482909,189208,41768,3132,0,1603372,754736,799275,492293,187465,33195,1152,0,c
128297,327225,464948,379022,210305,182224,91765,136214,118983,338849,497683,380208,199491,185603,87331,111852,112347,310071,446340,430913,193665,193900,102597,130167,c
506,50402,19224,15237,9135,6578,4177,16436,32,20554,44373,19302,10038,6915,4216,16265,26,493,41132,34687,15540,9229,5128,15460,c
