49826,223434,421296,296759,167854,74204,36257,173658,26076,97923,263754,400896,291011,130135,59964,173529,56613,187809,332033,296652,189132,109766,84557,186726,0
333014,226990,69498,29888,18698,17913,33051,57380,88762,221095,174078,111543,61842,41175,36179,51758,104718,280723,156461,86830,49934,33848,25946,47972,0
1770895,703324,311303,190530,79969,53832,48349,174918,300066,1123928,740694,550909,278301,87304,60682,191236,424334,1146199,670742,522001,246421,78941,52804,191678,0
196776,164088,109755,52832,24805,20831,37348,179997,18533,105041,165248,103340,76525,82070,88285,147390,48356,138690,145134,113971,108668,79457,47653,104503,0
361196,193023,102792,48485,27126,20544,19307,81127,72298,107536,149458,158883,122013,94004,57580,91828,75589,168640,179051,138999,107842,68863,36713,77903,0
454064,234768,229032,60104,19817,13313,166662,95658,443109,168409,87879,72584,173901,226585,34797,66154,468777,153209,125243,170151,202965,61418,31312,60343,0
492691,1081630,1128472,450915,200712,115452,85652,764476,438603,886914,1063659,918727,202074,73422,54829,681772,584962,1150602,924409,530346,257052,152951,115369,604309,0
17557,21699,10800,7867,5599,4391,3705,6047,4813,10414,12452,13149,11418,9665,8443,7311,6904,13382,13494,11717,10493,8009,5003,8663,0
240984,663211,468637,168715,46787,16367,11873,87426,41343,301811,571249,418778,183985,71987,27817,87030,89517,482696,584665,289628,116484,41855,15870,83285,0
677948,114959,29107,13092,9175,8158,8378,42447,318577,302980,150195,54568,18532,9834,9100,39478,236995,252511,177428,109219,53794,22181,12151,38985,0
69378,990679,816378,343910,153519,121547,20379,629938,5124,505055,864270,476674,384409,251564,29591,629041,89400,1004423,631356,370062,246825,154008,25107,624547,0
15689,16242,12434,5720,2141,1673,1331,8970,4371,8684,12797,12426,7436,10318,7320,848,3268,6219,10081,11864,15532,13036,3375,825,0
433,9026,12188,14232,11134,5068,2211,248,198,7220,11049,14338,12213,6311,2673,538,244,8032,11543,12928,11796,6482,2993,522,0
3611,36305,24648,9105,3038,2066,1979,1148,641,11525,20423,20143,14966,8829,3282,2091,2679,30458,25420,11294,4975,2717,2438,1919,0
248946,2896078,1609645,444353,228898,167965,149677,326374,21412,810661,2707647,1286934,479551,272140,177504,316087,18244,530489,2167858,1829371,809583,243653,166416,306322,0
1265602,848890,471784,192151,113443,90069,85387,78402,595987,876870,669250,342785,187488,129984,113714,229650,711967,801815,691055,348040,169739,116488,109865,196759,0
324168,256434,187223,137284,89452,50127,24839,10473,62046,130475,159417,164877,148166,146171,133575,135273,114982,149741,174473,174810,145667,134193,109750,76384,0
1546,8843,12349,19458,17033,7943,2477,1037,78,2497,7756,12555,25447,18129,3142,1082,506,6418,11852,21232,21717,6892,1306,763,0
5404,17858,22446,5988,2170,2451,2046,16713,783,3409,8392,14287,18635,10445,2462,16663,1186,4932,14112,19421,12928,3856,4992,13649,0
220570,247005,120608,37268,15442,10458,10515,124566,6181,48929,136885,203500,152215,79756,24397,134569,39613,152730,225574,150448,58917,20603,14637,123910,0
1646202,1152688,658184,284705,120133,71533,41609,6258,169910,628291,721824,846794,654662,494003,306009,159819,203832,648482,721447,809776,688300,498625,244038,166812,0
218181,128932,109590,131419,38506,18311,21067,120426,131748,137838,157448,136324,43054,28277,27441,124302,189530,131828,114171,139300,40844,25235,25110,120414,0
221484,298859,158787,99558,60620,40543,27686,87791,57733,304348,193777,123121,86457,58672,40099,131121,130406,320716,164658,110006,71391,49092,37696,111363,0
1258273,530013,395409,328702,231141,156335,131113,840502,431809,662015,454036,325310,327288,827953,649826,193251,720608,677002,359040,561142,830548,371201,198362,153585,0
242189,492849,341508,204074,88896,227428,247744,152880,50998,282475,479203,383098,154353,201875,294934,150632,107649,435652,350732,295784,159078,221173,279476,148024,0
230734,184634,141038,132286,113375,73019,57710,296004,204660,153461,116117,108386,108803,96475,80044,360854,111539,183853,123738,119726,124914,136858,176556,251616,0
485847,103012,62382,58151,31772,31550,71931,28561,148612,89365,145331,175664,99456,63459,85146,66173,131977,90739,130829,173693,105634,114228,50130,75976,0
63489,57677,65008,54740,39236,13536,6061,7453,2933,21916,47123,67928,56998,45838,35801,28663,7619,37182,44938,42913,50491,53517,39436,31104,0
542757,306789,294042,254115,179686,150883,125904,143392,73356,237952,398758,422195,279493,231151,177907,176756,59020,286086,451354,408198,283037,197374,159771,152728,0
14803,15548,15553,9067,3994,2663,2890,12282,2804,7753,11381,14342,13751,9914,4744,12111,2465,7166,9292,11443,12398,12994,7935,13107,0
215804,156050,221182,120509,76528,84437,203454,150836,188536,111765,137474,237749,245797,214322,77953,15204,204255,109248,255094,373467,179630,72205,26468,8433,0
737625,457744,470091,426038,324303,192935,77050,459942,374574,345596,390448,410808,418318,400053,296074,509857,418345,337843,371431,410762,445130,441384,594459,126374,0
595040,1585767,2118831,1728076,1468869,395197,72684,25808,79875,512586,1267861,2107474,2467802,960109,533055,61510,9730,324632,932233,1316107,1880437,1712810,1131171,683152,0
862811,362867,143572,43683,22736,19472,56478,479037,270441,609382,279887,156311,86873,72624,421016,94122,340800,462718,199312,163382,223642,322430,260698,17674,0
24627,48062,37082,22008,10204,4754,2397,1394,5241,28880,32634,37245,28589,13944,3445,550,12313,38431,36109,30942,19527,8847,3278,1081,0
26087,21120,10910,4628,738,3959,14762,1796,7526,14010,16900,10040,11602,15468,7775,679,9410,11970,12788,11112,14708,11920,7148,4944,0
254746,404771,411123,114451,37662,17232,414830,53985,207100,278860,259089,275314,163378,45226,418015,61818,95562,221725,219762,298863,251287,262327,356224,3050,0
27318,16030,18914,10321,4629,2762,2011,1265,21321,10572,8405,7774,9951,11157,8646,5424,15425,12236,10479,8524,10446,11128,8638,6374,0
57207,54850,37161,18106,8086,5303,2227,4560,11461,29675,36118,37310,27141,28395,11411,5989,12129,37826,44138,33415,27540,15860,10050,6542,0
974516,809715,391845,214105,124610,63571,39050,48588,660444,804220,448237,299586,209600,118703,66402,58808,307680,477499,549568,523630,361474,220472,129101,96576,0
320075,800964,516265,327880,105046,30488,26230,21575,108384,501355,358904,335874,388087,291086,107138,57695,144978,601122,553797,388864,302297,77989,33452,46024,0
9914,46322,48764,43232,25119,13302,6962,2993,5045,31071,41311,39098,44297,27019,7707,1060,6372,37424,45190,45375,34174,18359,8310,1404,0
178562,295537,367059,332484,172738,104232,71117,193471,104196,196079,383825,385482,213407,129720,91384,211107,98238,263524,411560,350909,190666,119613,86515,194175,0
25901,31334,25465,20838,12382,7277,3495,1788,13328,26662,23826,24716,20418,14408,3947,1175,19263,21949,19785,19339,20568,16599,7976,3001,0
723259,891755,511574,285787,113339,32055,10785,112278,418147,933064,656407,359601,147234,44413,13353,108613,256877,552488,480790,367707,311416,307260,231232,173062,0
31900,31942,5896,2729,1870,1364,1369,6242,463,11038,28649,24055,8001,2703,1774,6629,3807,34408,24206,9342,2523,1557,1530,5939,0
1047701,936552,398265,150041,63608,19740,7184,909,316861,586371,688678,636590,283708,80793,23510,7489,402813,627055,720797,528375,226495,80420,28798,9247,0
238445,355587,175207,63215,20666,6466,4059,8083,103975,207170,166284,136603,146314,87912,14934,8536,122955,264709,200669,137359,85955,42646,11193,6242,0
19991,16802,11877,6760,2770,3186,11584,12910,11508,13785,18108,18137,15533,7525,1174,110,18710,18762,15924,14212,10413,4620,2713,526,0
399605,221234,142461,43887,14682,110526,53134,71,12435,307034,301897,144912,164966,48936,5342,78,72985,116958,209344,243104,187660,105966,43718,5865,0
88756,178762,97099,80755,71984,71810,63547,133719,58950,199519,96954,110874,77969,75491,53064,113611,69848,216004,129905,93728,74934,55446,45125,101442,1
4,13107,77520,141310,69578,64823,34089,19569,1,22627,65318,122024,121373,39826,21416,27415,8,30465,50484,117955,128649,47667,24234,20538,1
1090,25447,17417,11891,6872,4251,3246,6586,2213,25408,17039,11766,6481,4236,3584,6073,2347,26714,15388,11377,8149,4632,3622,4571,1
54546,55122,42099,38192,47282,32204,21142,16613,50433,51689,38956,33734,49091,34705,27794,20798,93061,49148,40904,52400,31967,14386,11725,13609,1
21571,71563,56550,69024,69894,57850,44891,87857,40073,80154,71407,69068,52441,43287,28763,94007,53820,119574,78539,39440,34808,30606,22595,99818,1
130746,91077,85829,63176,28687,16721,13275,50489,113537,76071,78843,75330,54971,20398,10891,49959,103038,77887,73278,76510,60087,25220,12096,51884,1
33757,37909,40236,20891,19039,16967,9653,18156,13074,38436,37204,40179,21850,18658,11960,15247,14442,34458,39218,40307,21650,19190,11652,15691,1
15692,15155,14753,15775,16531,12084,16210,13800,24285,19526,16942,11871,17489,8381,10984,10522,33811,28093,12152,5824,10547,7523,12168,9882,1
60298,90440,75786,70187,53468,42308,29139,56774,80380,130753,58443,33156,45801,41965,28887,59015,130138,88240,50527,43438,50160,39204,27012,49681,1
470610,256130,275366,284070,190133,121186,84262,238243,468637,292146,261402,276934,204846,112109,72196,231730,493543,301277,232670,251682,216310,104319,98068,222131,1
60006,83743,64804,41382,20223,20321,4980,11741,62921,92844,56638,37774,17895,21616,5000,12512,88806,86182,48775,30621,20272,17005,3744,11795,1
40600,29572,31045,29918,20517,13929,7585,14334,27913,35355,30517,28519,23868,18131,8278,14919,4126,22439,51288,45100,26886,17411,7134,13116,1
6446,11555,17363,9225,11634,13220,5219,2138,8153,11861,16346,9725,11588,10905,5984,2238,4845,8887,16841,10928,13772,12985,5217,3325,1
66,10573,8031,6799,9448,6061,8282,13364,2601,12813,6004,3208,5370,8529,8176,15923,4612,13145,3890,2752,3750,6124,11230,17121,1
20841,25584,20937,18211,11742,6198,4113,12374,23851,24511,22811,18211,10848,4230,2708,12830,25971,28620,21134,17673,8606,3624,2661,11711,1
69485,86154,60428,43858,12614,6163,8521,32747,56152,73511,63754,53227,22567,6412,7055,37292,31654,85286,71699,51543,26531,8491,6938,37828,1
27355,38777,16632,8874,4960,4091,3023,2688,16650,21664,26514,18207,7962,4370,4156,6877,19013,25762,23041,17291,7924,5369,2616,5384,1
9855,70453,73113,57590,29851,22915,21723,21700,4290,69714,64986,67369,30839,20586,25831,23585,14457,89192,61757,44452,32760,29735,16296,18551,1
12932,31787,19079,11368,8933,6375,4145,5391,7967,20456,20957,10417,14863,11677,6510,7163,6826,23891,19235,14093,15052,9413,5368,6132,1
7628,49845,88721,65630,20645,5560,1778,12493,21263,42532,88477,67361,13016,5111,2407,12133,3386,33137,81452,83169,26548,9994,2652,11962,1
72411,93454,63513,92508,35405,35820,52974,33115,74527,97125,69236,88236,37041,46384,35602,31049,73494,94625,69052,80997,51641,39617,25437,44337,1
39222,104318,68691,39345,52431,26950,16569,29130,47848,110460,56028,25817,34216,46317,24488,31482,35929,83379,83297,33516,34098,43112,29984,33341,1
39166,18133,13742,14174,7468,9519,4812,12986,40601,17635,12575,16002,8583,8501,3438,12665,43465,16893,13613,14892,8318,7213,3355,12251,1
159606,69075,27154,15864,19537,16144,16034,33316,112150,45374,59297,34898,17091,22317,20114,45489,87547,58378,63931,38529,20270,20691,18361,49023,1
16841,14607,7956,4879,547,116,483,1226,11755,17019,6143,3016,3359,3389,588,1386,7198,18143,5898,1970,1846,1885,2467,7248,1
192861,686081,839998,731002,375042,121751,41724,157269,210026,897543,862970,655144,163339,64837,40676,251193,90251,464145,699954,607979,504524,169891,96816,512168,1
7463,23731,38990,22134,17233,15272,11133,31544,7004,29150,40944,18267,13819,13903,12614,31799,7761,29671,38135,17804,14348,14768,15947,29066,1
37172,110202,73817,49293,21898,17822,14240,28674,39429,125374,70691,35832,24319,18921,8126,30426,37631,112920,76712,39001,24841,23343,9446,29224,1
97283,93751,129521,81369,40668,25400,28761,12847,132199,159296,91168,41859,22959,22502,27637,11980,140644,130272,103514,40167,26149,26145,30438,12271,1
33969,43341,39291,34864,20859,11178,7753,10745,48647,39621,34717,33090,19872,9298,6792,9963,57030,38506,28646,29400,18855,12565,7180,9818,1
7534,20870,22412,32893,38045,35640,31190,34715,10924,16835,15873,27963,42553,38880,34908,35363,11951,12047,16686,33301,57060,51214,28136,12904,1
334,20308,39365,41989,64720,71812,78649,56567,483,34866,51952,47507,83659,69851,58300,27126,497,41156,56677,46242,66235,80827,47083,35027,1
13041,56738,67418,58685,29074,19403,16250,8191,9683,65563,65873,44169,31417,24711,20055,7329,23159,76894,53250,34814,29982,23663,19604,7434,1
108669,191442,182092,107825,60772,42553,24593,68486,74771,136023,197985,151205,67901,49230,31188,78129,61336,106700,149954,209944,85282,54703,32295,86218,1
46,7110,34275,16426,6534,5158,3955,3296,17,6087,38124,13708,6341,5215,3908,3400,0,50,9789,29320,9824,6084,6417,15316,1
19153,12620,11002,10715,7902,6268,5751,8139,21925,9177,10766,10504,8150,7119,5695,8214,3324,6200,9090,16276,13981,11388,8820,12471,1
14436,100100,235002,558780,524975,243071,99658,143978,68466,258550,548376,359995,294306,150036,89675,150596,115860,551314,373765,258858,224471,120495,117012,158225,1
419,9292,21215,27910,17178,14320,4007,11793,591,11967,21337,28271,15990,11486,4240,12252,345,10969,21448,28845,15168,11667,4669,13023,1
9148,113450,293456,421777,439495,655900,476726,686816,26528,185740,403140,321391,437303,595044,430289,697333,12587,189222,442399,344726,390813,525479,468863,722679,1
25964,16901,15785,9444,5842,4684,3605,9215,29267,11491,16212,9339,6933,4070,3533,10595,21269,9913,14421,13100,6941,5848,5751,14197,1
