49826,223434,421296,296759,167854,74204,36257,173658,26076,97923,263754,400896,291011,130135,59964,173529,56613,187809,332033,296652,189132,109766,84557,186726,a
333014,226990,69498,29888,18698,17913,33051,57380,88762,221095,174078,111543,61842,41175,36179,51758,104718,280723,156461,86830,49934,33848,25946,47972,a
1770895,703324,311303,190530,79969,53832,48349,174918,300066,1123928,740694,550909,278301,87304,60682,191236,424334,1146199,670742,522001,246421,78941,52804,191678,a
196776,164088,109755,52832,24805,20831,37348,179997,18533,105041,165248,103340,76525,82070,88285,147390,48356,138690,145134,113971,108668,79457,47653,104503,a
361196,193023,102792,48485,27126,20544,19307,81127,72298,107536,149458,158883,122013,94004,57580,91828,75589,168640,179051,138999,107842,68863,36713,77903,a
454064,234768,229032,60104,19817,13313,166662,95658,443109,168409,87879,72584,173901,226585,34797,66154,468777,153209,125243,170151,202965,61418,31312,60343,a
492691,1081630,1128472,450915,200712,115452,85652,764476,438603,886914,1063659,918727,202074,73422,54829,681772,584962,1150602,924409,530346,257052,152951,115369,604309,a
17557,21699,10800,7867,5599,4391,3705,6047,4813,10414,12452,13149,11418,9665,8443,7311,6904,13382,13494,11717,10493,8009,5003,8663,a
240984,663211,468637,168715,46787,16367,11873,87426,41343,301811,571249,418778,183985,71987,27817,87030,89517,482696,584665,289628,116484,41855,15870,83285,a
677948,114959,29107,13092,9175,8158,8378,42447,318577,302980,150195,54568,18532,9834,9100,39478,236995,252511,177428,109219,53794,22181,12151,38985,a
69378,990679,816378,343910,153519,121547,20379,629938,5124,505055,864270,476674,384409,251564,29591,629041,89400,1004423,631356,370062,246825,154008,25107,624547,a
15689,16242,12434,5720,2141,1673,1331,8970,4371,8684,12797,12426,7436,10318,7320,848,3268,6219,10081,11864,15532,13036,3375,825,a
433,9026,12188,14232,11134,5068,2211,248,198,7220,11049,14338,12213,6311,2673,538,244,8032,11543,12928,11796,6482,2993,522,a
3611,36305,24648,9105,3038,2066,1979,1148,641,11525,20423,20143,14966,8829,3282,2091,2679,30458,25420,11294,4975,2717,2438,1919,a
248946,2896078,1609645,444353,228898,167965,149677,326374,21412,810661,2707647,1286934,479551,272140,177504,316087,18244,530489,2167858,1829371,809583,243653,166416,306322,a
1265602,848890,471784,192151,113443,90069,85387,78402,595987,876870,669250,342785,187488,129984,113714,229650,711967,801815,691055,348040,169739,116488,109865,196759,a
