-0.859510103,-0.38770731,b
-1.62639302,-0.949079501,b
-2.47934212,-0.602168542,b
-2.00506389,-0.472327088,b
-1.48668926,-0.597791003,b
-1.71806515,-0.188213101,b
-2.21794405,-0.584865787,b
-2.37640558,-0.59023172,b
-1.62560589,-0.342574154,b
1.24827547,0.870061342,b
-2.08743585,-0.257493199,b
-2.24794893,-0.577388747,b
-2.46904195,-0.651692035,b
-2.47298767,-0.665461962,b
-2.40510342,-0.529203277,b
-2.01894637,-0.324869214,b
-2.44609563,-0.525828502,b
-1.95990453,-0.583965111,b
-2.43244807,-0.602453704,b
-2.13391431,-0.515532365,b
-1.61058256,-0.438562318,b
-1.83547528,-0.47547514,b
-2.41548214,-0.500733172,b
-1.96781102,-0.218446569,b
-2.56006076,-0.571513153,b
3.94701525,0.776730494,b
-2.2383203,-0.64246937,b
-1.93785427,-0.332090718,b
-1.69428005,-0.0460051065,b
-2.25655207,-0.449876071,b
-2.0523977,-0.845280012,b
-1.62591381,-1.04351648,b
-2.06682436,-0.564978107,b
-0.991304473,-0.285383059,b
-2.46389607,-0.657245887,b
-2.46139242,-0.624752148,b
1.81176334,-0.848957494,b
-2.38745489,-0.679983185,b
6.18859733,-3.91271316,b
-2.46160453,-0.553979923,b
-2.15046326,-0.595949058,b
-2.06803916,-0.74137621,b
-1.69169672,-0.224531529,b
-2.26215306,-0.753235482,b
-2.26184175,-0.528861649,b
-2.39798638,-0.559167542,b
-1.70207701,-0.0915960468,b
-2.26175763,-0.496162427,b
-0.756817268,1.79540116,b
12.8893739,-1.58920445,b
