7.4914,-12.555,b
4.0181,-7.3413,b
2.9821,-12.015,b
5.3682,-10.797,b
6.9905,-11.018,b
3.5423,-12.007,b
3.2406,-11.884,b
3.163,-14.27,b
6.4358,-13.428,b
7.3226,-9.7038,b
5.0771,-10.025,b
6.5165,-14.768,b
5.0164,-12.518,b
4.7604,-13.224,b
2.074,-6.74,b
7.2804,-13.901,b
5.8773,-11.781,b
7.6806,-11.651,b
5.5283,-11.067,b
4.8446,-13.875,b
4.3933,-10.413,b
8.7802,-11.823,b
8.8368,-12.819,b
6.3151,-14.971,b
3.2819,-12.202,b
6.0412,-12.549,b
7.6031,-12.087,b
6.5796,-14.806,b
9.1172,-13.011,b
5.0749,-13.182,b
5.5251,-14.344,b
1.0558,-8.518,b
8.6771,-11.313,b
9.9926,-12.065,b
8.3664,-12.428,b
6.3785,-10.869,b
7.9551,-12.401,b
6.2125,-10.614,b
4.5398,-11.28,b
5.019,-12.188,b
4.0978,-11.521,b
6.321,-10.884,b
4.2621,-11.932,b
4.6104,-8.2296,b
5.9196,-15.752,b
7.0901,-13.846,b
3.622,-14.545,b
7.1703,-13.532,b
3.8244,-9.9302,b
7.6082,-14.485,b
8.6833,-17.049,b
11.576,-17.115,b
4.7635,-11.878,b
8.8046,-12.11,b
7.9551,-10.414,b
7.44,-11.287,b
6.4325,-14.483,b
6.9731,-10.966,b
6.2735,-8.8688,b
9.0665,-13.578,b
2.9338,-12.105,b
1.98,-8.9271,b
8.4582,-11.925,b
3.9062,-8.185,b
7.7921,-11.954,b
9.0489,-14.237,b
4.9995,-7.4703,b
5.6674,-12.4,b
4.8756,-8.6017,b
4.8195,-11.056,b
5.7825,-13.132,b
9.7509,-12.452,b
4.7311,-9.2822,b
6.7565,-13.14,b
6.2695,-9.4253,b
6.3707,-15.996,b
4.4056,-11.537,b
7.0228,-14.887,b
9.4362,-13.952,b
8.9374,-16.642,b
5.0595,-14.792,b
5.1158,-11.273,b
3.564,-11.251,b
4.6046,-13.656,b
3.8204,-14.423,b
8.5403,-14.968,b
6.8939,-10.636,b
8.1149,-12.674,b
6.4972,-14.041,b
5.8157,-12.359,b
3.8638,-11.627,b
4.4606,-8.8505,b
5.4193,-12.114,b
4.2469,-10.012,b
4.3614,-9.4848,b
5.6568,-14.237,b
6.8345,-12.862,b
5.7056,-10.034,b
4.528,-11.409,b
6.7096,-12.2,b
8.5873,-13.971,b
9.6109,-13.817,b
7.7519,-13.712,b
6.1878,-13.779,b
2.3551,-11.179,b
3.6554,-14.022,b
0.95775,-11.746,b
3.8523,-13.203,b
3.548,-12.098,b
6.4166,-11.271,b
7.7527,-11.385,b
7.0142,-13.95,b
6.4269,-9.3785,b
7.3199,-12.702,b
8.0681,-13.214,b
4.6026,-13.604,b
5.9782,-13.856,b
5.2025,-11.72,b
1.7106,-11.31,b
7.4085,-12.264,b
7.8928,-10.367,b
3.7863,-6.9056,b
5.8141,-10.456,b
7.6968,-10.3,b
